제품유형,화면,질문,답,다음화면,비고,컨트롤,값
공통,q003_090_producttype,물질/조제품의 제품 유형은 무엇입니까?,가스,,선택 불가 (ART 미지원),ctl00$cphMain$ProductType,rbGas
공통,q003_090_producttype,물질/조제품의 제품 유형은 무엇입니까?,고온 또는 용융 금속,,선택 불가 (ART 미지원),ctl00$cphMain$ProductType,rbHotMetal
공통,q003_090_producttype,물질/조제품의 제품 유형은 무엇입니까?,고체 물체,q007_094_solidweightfraction,,ctl00$cphMain$ProductType,rbSolidObjects
공통,q003_090_producttype,물질/조제품의 제품 유형은 무엇입니까?,"분말, 과립 또는 펠릿형 재료",q004_091_dustiness,,ctl00$cphMain$ProductType,rbGranularMaterial
공통,q003_090_producttype,물질/조제품의 제품 유형은 무엇입니까?,섬유상 물질,,선택 불가 (ART 미지원),ctl00$cphMain$ProductType,rbFibrous
공통,q003_090_producttype,물질/조제품의 제품 유형은 무엇입니까?,액체,q009_096_processtemperature,,ctl00$cphMain$ProductType,rbLiquids
공통,q003_090_producttype,물질/조제품의 제품 유형은 무엇입니까?,액체에 용해되거나 액상 매트릭스에 포함된 분말 (예: 방오도료 내 구리),q015_5_1_102_5_1_liquidmatrixweightfraction,,ctl00$cphMain$ProductType,rbPowderInLiquid
공통,q003_090_producttype,물질/조제품의 제품 유형은 무엇입니까?,"페이스트, 슬러리 또는 명백히 (젖은) 습윤 분말 (휘발성 액체 성분 불포함)",q015_1_102_1_contaminatedwithpowder,,ctl00$cphMain$ProductType,rbPasteSlurry
분말·과립,q004_091_dustiness,"측정된 재료의 발진성은 얼마입니까? (흡입성 분율, mg/kg)","견고한 과립, 플레이크 또는 펠릿",q006_093_moisturecontent,,ctl00$cphMain$ddlDustiness,5
분말·과립,q004_091_dustiness,"측정된 재료의 발진성은 얼마입니까? (흡입성 분율, mg/kg)","과립, 플레이크 또는 펠릿",q006_093_moisturecontent,,ctl00$cphMain$ddlDustiness,4
분말·과립,q004_091_dustiness,"측정된 재료의 발진성은 얼마입니까? (흡입성 분율, mg/kg)",극도로 미세하고 가벼운 분말,q006_093_moisturecontent,,ctl00$cphMain$ddlDustiness,1
분말·과립,q004_091_dustiness,"측정된 재료의 발진성은 얼마입니까? (흡입성 분율, mg/kg)",미세 분진,q006_093_moisturecontent,,ctl00$cphMain$ddlDustiness,2
분말·과립,q004_091_dustiness,"측정된 재료의 발진성은 얼마입니까? (흡입성 분율, mg/kg)",조대 분진,q006_093_moisturecontent,,ctl00$cphMain$ddlDustiness,3
분말·과립,q006_093_moisturecontent,제품의 수분 함량은 얼마입니까?,건조 제품 (수분 함량 <5 %),q006_5_093_5_powderweightfraction,,ctl00$cphMain$MoistureContent,rbPercentLT5
분말·과립,q006_093_moisturecontent,제품의 수분 함량은 얼마입니까?,수분 함량 5 - 10 %,q006_5_093_5_powderweightfraction,,ctl00$cphMain$MoistureContent,rbPercent5To10
분말·과립,q006_093_moisturecontent,제품의 수분 함량은 얼마입니까?,수분 함량 >10 %,q006_5_093_5_powderweightfraction,,ctl00$cphMain$MoistureContent,rbPercentGT10
분말·과립,q006_5_093_5_powderweightfraction,"분말, 과립 또는 펠릿형 재료 내 물질의 질량분율은 얼마입니까?",극미량 (0.01 - 0.1 %),q016_nearfieldsource,,ctl00$cphMain$ddlFraction,8
분말·과립,q006_5_093_5_powderweightfraction,"분말, 과립 또는 펠릿형 재료 내 물질의 질량분율은 얼마입니까?",극미량 (< 0.01 %),q016_nearfieldsource,,ctl00$cphMain$ddlFraction,9
분말·과립,q006_5_093_5_powderweightfraction,"분말, 과립 또는 펠릿형 재료 내 물질의 질량분율은 얼마입니까?",극히 적음 (0.1 - 0.5 %),q016_nearfieldsource,,ctl00$cphMain$ddlFraction,7
분말·과립,q006_5_093_5_powderweightfraction,"분말, 과립 또는 펠릿형 재료 내 물질의 질량분율은 얼마입니까?",매우 적음 (0.5 - 1 %),q016_nearfieldsource,,ctl00$cphMain$ddlFraction,6
분말·과립,q006_5_093_5_powderweightfraction,"분말, 과립 또는 펠릿형 재료 내 물질의 질량분율은 얼마입니까?",상당량 (10 - 50 %),q016_nearfieldsource,,ctl00$cphMain$ddlFraction,3
분말·과립,q006_5_093_5_powderweightfraction,"분말, 과립 또는 펠릿형 재료 내 물질의 질량분율은 얼마입니까?",소량 (5 - 10 %),q016_nearfieldsource,,ctl00$cphMain$ddlFraction,4
분말·과립,q006_5_093_5_powderweightfraction,"분말, 과립 또는 펠릿형 재료 내 물질의 질량분율은 얼마입니까?",순수 물질 (100%),q016_nearfieldsource,,ctl00$cphMain$ddlFraction,1
분말·과립,q006_5_093_5_powderweightfraction,"분말, 과립 또는 펠릿형 재료 내 물질의 질량분율은 얼마입니까?",적음 (1 - 5 %),q016_nearfieldsource,,ctl00$cphMain$ddlFraction,5
분말·과립,q006_5_093_5_powderweightfraction,"분말, 과립 또는 펠릿형 재료 내 물질의 질량분율은 얼마입니까?",주성분 (50 - 90 %),q016_nearfieldsource,,ctl00$cphMain$ddlFraction,2
분말·과립,q016_nearfieldsource,"1차 배출 발생원이 작업자의 호흡 영역(즉, 작업자 머리로부터 모든 방향으로 1미터 이내의 공기 체적) 안에 있습니까?",아니오,q017_055_103_activityclass,,ctl00$cphMain$NFPES,rbNo
분말·과립,q016_nearfieldsource,"1차 배출 발생원이 작업자의 호흡 영역(즉, 작업자 머리로부터 모든 방향으로 1미터 이내의 공기 체적) 안에 있습니까?",예,q017_055_103_activityclass,,ctl00$cphMain$NFPES,rbYes
분말·과립,q017_055_103_activityclass,활동 등급 선택,"분말, 과립 또는 펠릿형 재료의 압축",q025_063_111_compressinggranularmaterial,,ctl00$cphMain$ActivityClass,rbGranularMaterialCompressing
분말·과립,q017_055_103_activityclass,활동 등급 선택,"분말, 과립 또는 펠릿형 재료의 압축",q025_063_111_compressinggranularmaterial,,ctl00$cphMain$ActivityClass,rbGranularMaterialCompressing
분말·과립,q017_055_103_activityclass,활동 등급 선택,"분말, 과립 또는 펠릿형 재료의 이동 및 교반",q023_061_109_movementagitationgranularmaterial,,ctl00$cphMain$ActivityClass,rbGranularMaterialMovementAgitation
분말·과립,q017_055_103_activityclass,활동 등급 선택,"분말, 과립 또는 펠릿형 재료의 이동 및 교반",q023_061_109_movementagitationgranularmaterial,,ctl00$cphMain$ActivityClass,rbGranularMaterialMovementAgitation
분말·과립,q017_055_103_activityclass,활동 등급 선택,"분말, 과립 또는 펠릿형 재료의 이송 / — 선택 —",q024_062_110_fallinggranularmaterial,,ctl00$cphMain$ActivityClass~~selSubclass,rbGranularMaterialTransfer~~0
분말·과립,q017_055_103_activityclass,활동 등급 선택,"분말, 과립 또는 펠릿형 재료의 이송 / — 선택 —",q024_062_110_fallinggranularmaterial,,ctl00$cphMain$ActivityClass~~selSubclass,rbGranularMaterialTransfer~~0
